CMDLINE C:\Users\Acer\AppData\Local\Programs\Python\Python311\python.exe cli.py
MEM 72.269531 1749533687.5159
MEM 72.269531 1749533687.6165
MEM 72.269531 1749533687.7170
MEM 72.269531 1749533687.8175
MEM 72.269531 1749533687.9183
MEM 72.269531 1749533688.0187
MEM 72.269531 1749533688.1193
MEM 72.269531 1749533688.2199
MEM 72.269531 1749533688.3205
MEM 72.269531 1749533688.4210
MEM 72.269531 1749533688.5215
MEM 72.269531 1749533688.6221
MEM 72.269531 1749533688.7227
MEM 72.269531 1749533688.8237
MEM 72.269531 1749533688.9242
MEM 72.269531 1749533689.0246
MEM 72.269531 1749533689.1252
MEM 72.269531 1749533689.2260
MEM 72.269531 1749533689.3265
MEM 72.269531 1749533689.4269
MEM 72.269531 1749533689.5273
MEM 72.269531 1749533689.6279
MEM 72.269531 1749533689.7285
MEM 72.269531 1749533689.8291
MEM 72.269531 1749533689.9296
MEM 72.269531 1749533690.0300
MEM 72.269531 1749533690.1306
MEM 72.269531 1749533690.2310
MEM 72.269531 1749533690.3316
MEM 72.269531 1749533690.4322
MEM 72.269531 1749533690.5332
MEM 72.269531 1749533690.6340
MEM 72.269531 1749533690.7347
MEM 72.269531 1749533690.8349
MEM 72.269531 1749533690.9355
MEM 72.269531 1749533691.0362
MEM 72.269531 1749533691.1366
MEM 72.269531 1749533691.2373
MEM 72.269531 1749533691.3381
MEM 72.269531 1749533691.4386
MEM 72.269531 1749533691.5393
MEM 72.269531 1749533691.6397
MEM 72.269531 1749533691.7402
MEM 72.269531 1749533691.8411
MEM 72.269531 1749533691.9418
MEM 72.269531 1749533692.0424
MEM 72.269531 1749533692.1431
MEM 72.269531 1749533692.2435
MEM 72.269531 1749533692.3439
MEM 72.269531 1749533692.4443
